image size: (210, 160, 3)
action size: 3
global steps 6400 | score: 0.0 | entropy: 0.3651 | grad norm: 0.000 
global steps 12800 | score: 0.0 | entropy: 0.3647 | grad norm: 4.551 
global steps 12800 | score: 0.0 | entropy: 0.3649 | grad norm: 4.551 
global steps 12800 | score: 0.0 | entropy: 0.3650 | grad norm: 4.551 
global steps 12800 | score: 0.0 | entropy: 0.3653 | grad norm: 4.551 
global steps 12800 | score: 0.0 | entropy: 0.3654 | grad norm: 4.551 
global steps 12800 | score: 0.0 | entropy: 0.3655 | grad norm: 4.551 
global steps 12800 | score: 0.0 | entropy: 0.3656 | grad norm: 4.551 
global steps 12800 | score: 1.0 | entropy: 0.3654 | grad norm: 4.551 
global steps 12800 | score: 1.0 | entropy: 0.3655 | grad norm: 4.551 
global steps 12800 | score: 1.0 | entropy: 0.3655 | grad norm: 4.551 
global steps 12800 | score: 1.0 | entropy: 0.3655 | grad norm: 4.551 
global steps 12800 | score: 1.0 | entropy: 0.3655 | grad norm: 4.551 
global steps 12800 | score: 1.0 | entropy: 0.3655 | grad norm: 4.551 
global steps 12800 | score: 1.0 | entropy: 0.3655 | grad norm: 4.551 
global steps 12800 | score: 2.0 | entropy: 0.3656 | grad norm: 4.551 
global steps 19200 | score: 2.0 | entropy: 0.3628 | grad norm: 20.375 
global steps 19200 | score: 2.0 | entropy: 0.3625 | grad norm: 20.375 
global steps 19200 | score: 3.0 | entropy: 0.3625 | grad norm: 20.375 
global steps 19200 | score: 3.0 | entropy: 0.3628 | grad norm: 20.375 
global steps 19200 | score: 3.0 | entropy: 0.3630 | grad norm: 20.375 
global steps 19200 | score: 3.0 | entropy: 0.3626 | grad norm: 20.375 
global steps 19200 | score: 3.0 | entropy: 0.3630 | grad norm: 20.375 
global steps 19200 | score: 4.0 | entropy: 0.3628 | grad norm: 20.375 
global steps 19200 | score: 3.0 | entropy: 0.3630 | grad norm: 20.375 
global steps 19200 | score: 3.0 | entropy: 0.3626 | grad norm: 20.375 
global steps 19200 | score: 3.0 | entropy: 0.3631 | grad norm: 20.375 
global steps 19200 | score: 4.0 | entropy: 0.3627 | grad norm: 20.375 
global steps 25600 | score: 4.0 | entropy: 0.3603 | grad norm: 2.115 
global steps 25600 | score: 4.0 | entropy: 0.3599 | grad norm: 2.115 
global steps 25600 | score: 3.0 | entropy: 0.3599 | grad norm: 2.115 
global steps 25600 | score: 6.0 | entropy: 0.3596 | grad norm: 2.115 
global steps 25600 | score: 3.0 | entropy: 0.3604 | grad norm: 2.115 
global steps 25600 | score: 5.0 | entropy: 0.3596 | grad norm: 2.115 
global steps 25600 | score: 5.0 | entropy: 0.3596 | grad norm: 2.115 
global steps 25600 | score: 6.0 | entropy: 0.3607 | grad norm: 2.115 
global steps 25600 | score: 6.0 | entropy: 0.3606 | grad norm: 2.115 
global steps 25600 | score: 6.0 | entropy: 0.3602 | grad norm: 2.115 
global steps 25600 | score: 8.0 | entropy: 0.3596 | grad norm: 2.115 
global steps 25600 | score: 6.0 | entropy: 0.3605 | grad norm: 2.115 
global steps 32000 | score: 6.0 | entropy: 0.3580 | grad norm: 3.312 
global steps 32000 | score: 7.0 | entropy: 0.3587 | grad norm: 3.312 
global steps 32000 | score: 6.0 | entropy: 0.3582 | grad norm: 3.312 
global steps 32000 | score: 5.0 | entropy: 0.3580 | grad norm: 3.312 
global steps 32000 | score: 6.0 | entropy: 0.3586 | grad norm: 3.312 
global steps 32000 | score: 7.0 | entropy: 0.3586 | grad norm: 3.312 
