image size: (210, 160, 3)
action size: 3
/home/matthew_daangn_com/anaconda3/lib/python3.6/site-packages/skimage/transform/_warps.py:84: UserWarning: The default mode, 'constant', will be changed to 'reflect' in skimage 0.15.
  warn("The default mode, 'constant', will be changed to 'reflect' in "
global steps 4800 | score: 0.0 | entropy: 0.3653 | grad norm: 0.000 
/home/matthew_daangn_com/feudal-montezuma/lstm_a2c/train.py:78: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(net.parameters(), args.clip_grad_norm)
global steps 9600 | score: 0.0 | entropy: 0.3657 | grad norm: 4.508 
global steps 9600 | score: 0.0 | entropy: 0.3657 | grad norm: 4.508 
global steps 9600 | score: 0.0 | entropy: 0.3656 | grad norm: 4.508 
global steps 9600 | score: 0.0 | entropy: 0.3657 | grad norm: 4.508 
global steps 9600 | score: 0.0 | entropy: 0.3657 | grad norm: 4.508 
global steps 9600 | score: 0.0 | entropy: 0.3657 | grad norm: 4.508 
global steps 9600 | score: 0.0 | entropy: 0.3656 | grad norm: 4.508 
global steps 9600 | score: 0.0 | entropy: 0.3657 | grad norm: 4.508 
global steps 9600 | score: 1.0 | entropy: 0.3656 | grad norm: 4.508 
global steps 9600 | score: 1.0 | entropy: 0.3657 | grad norm: 4.508 
global steps 9600 | score: 1.0 | entropy: 0.3657 | grad norm: 4.508 
global steps 14400 | score: 4.0 | entropy: 0.3634 | grad norm: 20.279 
global steps 14400 | score: 4.0 | entropy: 0.3634 | grad norm: 20.279 
global steps 14400 | score: 4.0 | entropy: 0.3634 | grad norm: 20.279 
global steps 14400 | score: 4.0 | entropy: 0.3636 | grad norm: 20.279 
global steps 14400 | score: 5.0 | entropy: 0.3634 | grad norm: 20.279 
global steps 14400 | score: 5.0 | entropy: 0.3639 | grad norm: 20.279 
global steps 14400 | score: 5.0 | entropy: 0.3640 | grad norm: 20.279 
global steps 14400 | score: 4.0 | entropy: 0.3637 | grad norm: 20.279 
global steps 14400 | score: 5.0 | entropy: 0.3635 | grad norm: 20.279 
global steps 14400 | score: 4.0 | entropy: 0.3640 | grad norm: 20.279 
global steps 14400 | score: 5.0 | entropy: 0.3634 | grad norm: 20.279 
global steps 19200 | score: 1.0 | entropy: 0.3621 | grad norm: 2.153 
global steps 19200 | score: 3.0 | entropy: 0.3622 | grad norm: 2.153 
global steps 19200 | score: 2.0 | entropy: 0.3620 | grad norm: 2.153 
global steps 19200 | score: 3.0 | entropy: 0.3621 | grad norm: 2.153 
global steps 19200 | score: 4.0 | entropy: 0.3627 | grad norm: 2.153 
global steps 19200 | score: 8.0 | entropy: 0.3629 | grad norm: 2.153 
global steps 19200 | score: 4.0 | entropy: 0.3629 | grad norm: 2.153 
global steps 24000 | score: 4.0 | entropy: 0.3617 | grad norm: 3.831 
