image size: (210, 160, 3)
action size: 9
/usr/local/lib/python3.5/dist-packages/skimage/transform/_warps.py:105: UserWarning: The default mode, 'constant', will be changed to 'reflect' in skimage 0.15.
  warn("The default mode, 'constant', will be changed to 'reflect' in "
/usr/local/lib/python3.5/dist-packages/skimage/transform/_warps.py:110: UserWarning: Anti-aliasing will be enabled by default in skimage 0.15 to avoid aliasing artifacts when down-sampling images.
  warn("Anti-aliasing will be enabled by default in skimage 0.15 to "
0 episode | score: 0.00 | steps: 4441 | loss: -0.9527
1 episode | score: 0.00 | steps: 8880 | loss: -6.3021
2 episode | score: 0.00 | steps: 13342 | loss: -22.3202
3 episode | score: 0.00 | steps: 17775 | loss: -63.6170
4 episode | score: 0.00 | steps: 22219 | loss: -119.5039
5 episode | score: 0.00 | steps: 26655 | loss: -160.8324
6 episode | score: 0.00 | steps: 31092 | loss: -186.9750
7 episode | score: 0.00 | steps: 35494 | loss: -179.1323
8 episode | score: 0.00 | steps: 39926 | loss: -37.9770
9 episode | score: 0.00 | steps: 44371 | loss: -10.1960
10 episode | score: 0.00 | steps: 48806 | loss: -28.9412
11 episode | score: 0.00 | steps: 53233 | loss: -33.9294
12 episode | score: 0.00 | steps: 57677 | loss: -8.0252
13 episode | score: 0.00 | steps: 62103 | loss: -12.8878
14 episode | score: 0.00 | steps: 66534 | loss: -9.1755
15 episode | score: 0.00 | steps: 70965 | loss: 1.4262
16 episode | score: 0.00 | steps: 75392 | loss: -4.1799
17 episode | score: 0.00 | steps: 79822 | loss: -1.5037
18 episode | score: 0.00 | steps: 84228 | loss: -1.6683
19 episode | score: 0.00 | steps: 88667 | loss: -1.7021
20 episode | score: 0.00 | steps: 93095 | loss: -6.4118
21 episode | score: 0.00 | steps: 97529 | loss: -3.4393
22 episode | score: 0.00 | steps: 101967 | loss: -5.9993
23 episode | score: 0.00 | steps: 106396 | loss: -40.7987
24 episode | score: 0.00 | steps: 110826 | loss: 0.4027
25 episode | score: 0.00 | steps: 115295 | loss: -1.4001
26 episode | score: 0.00 | steps: 119741 | loss: -5.1531
27 episode | score: 0.00 | steps: 124180 | loss: -0.7810
28 episode | score: 0.00 | steps: 128627 | loss: -1.5361
29 episode | score: 0.00 | steps: 133054 | loss: -4.7685
30 episode | score: 0.00 | steps: 137484 | loss: -5.8684
31 episode | score: 0.00 | steps: 141937 | loss: -6.0402
32 episode | score: 0.00 | steps: 146372 | loss: -4.7432
33 episode | score: 0.00 | steps: 150796 | loss: -0.4637
34 episode | score: 0.00 | steps: 155230 | loss: -3.9251
35 episode | score: 0.00 | steps: 159687 | loss: -6.7416
36 episode | score: 0.00 | steps: 164105 | loss: -5.7281
37 episode | score: 0.00 | steps: 168532 | loss: -0.9144
38 episode | score: 0.00 | steps: 172981 | loss: -2.3282
39 episode | score: 0.00 | steps: 177422 | loss: -9.6455
40 episode | score: 0.00 | steps: 181887 | loss: -7.3756
41 episode | score: 0.00 | steps: 186329 | loss: -5.6100
42 episode | score: 0.00 | steps: 190765 | loss: -5.9080
43 episode | score: 0.00 | steps: 195169 | loss: -5.0467
44 episode | score: 0.00 | steps: 199589 | loss: -2.2509
45 episode | score: 0.00 | steps: 204009 | loss: -3.1803
46 episode | score: 0.00 | steps: 208409 | loss: 2.6665
47 episode | score: 0.00 | steps: 212835 | loss: -2.1987
48 episode | score: 0.00 | steps: 217308 | loss: 0.3896
49 episode | score: 0.00 | steps: 221751 | loss: 0.8478
50 episode | score: 0.00 | steps: 226191 | loss: 2.4626
51 episode | score: 0.00 | steps: 230619 | loss: 0.7142
52 episode | score: 0.00 | steps: 235062 | loss: -1.1534
53 episode | score: 0.00 | steps: 239504 | loss: -4.1819
54 episode | score: 0.00 | steps: 243957 | loss: -0.4717
55 episode | score: 0.00 | steps: 248385 | loss: -4.3644
56 episode | score: 0.00 | steps: 252825 | loss: -0.0145
57 episode | score: 0.00 | steps: 257239 | loss: 0.5002
58 episode | score: 0.00 | steps: 261670 | loss: -0.9438
59 episode | score: 0.00 | steps: 266114 | loss: -3.3937
60 episode | score: 0.00 | steps: 270544 | loss: -3.7682
61 episode | score: 0.00 | steps: 274930 | loss: -4.5357
62 episode | score: 0.00 | steps: 279352 | loss: -5.2778
63 episode | score: 0.00 | steps: 283818 | loss: -2.7200
64 episode | score: 0.00 | steps: 288254 | loss: -6.9868
65 episode | score: 0.00 | steps: 292654 | loss: -7.6276
66 episode | score: 0.00 | steps: 297108 | loss: -6.7670
67 episode | score: 0.00 | steps: 301528 | loss: -8.3585
68 episode | score: 0.00 | steps: 305973 | loss: -10.3134
69 episode | score: 0.00 | steps: 310424 | loss: -11.8374
70 episode | score: 0.00 | steps: 314851 | loss: -15.6098
71 episode | score: 0.00 | steps: 319302 | loss: -12.8799
72 episode | score: 0.00 | steps: 323762 | loss: -8.8433
73 episode | score: 0.00 | steps: 328181 | loss: -12.6853
74 episode | score: 0.00 | steps: 332626 | loss: -7.9614
75 episode | score: 0.00 | steps: 337051 | loss: -5.9579
76 episode | score: 0.00 | steps: 341464 | loss: -0.3583
77 episode | score: 0.00 | steps: 345923 | loss: -7.1680
78 episode | score: 0.00 | steps: 350343 | loss: -5.8895
79 episode | score: 0.00 | steps: 354792 | loss: -4.6972
80 episode | score: 0.00 | steps: 359254 | loss: -4.4584
81 episode | score: 0.00 | steps: 363692 | loss: 1.7525
82 episode | score: 0.00 | steps: 368118 | loss: -0.4667
83 episode | score: 0.00 | steps: 372537 | loss: 0.4791
84 episode | score: 0.00 | steps: 376981 | loss: 2.1113
85 episode | score: 0.00 | steps: 381408 | loss: 2.0925
86 episode | score: 0.00 | steps: 385806 | loss: 1.3196
87 episode | score: 0.00 | steps: 390253 | loss: -0.2793
88 episode | score: 0.00 | steps: 394727 | loss: 0.6925
89 episode | score: 0.00 | steps: 399180 | loss: 0.5046
90 episode | score: 0.00 | steps: 403652 | loss: -0.2426
91 episode | score: 0.00 | steps: 408077 | loss: 1.2086
92 episode | score: 0.00 | steps: 412531 | loss: -1.4167
93 episode | score: 0.00 | steps: 416996 | loss: 0.0315
94 episode | score: 0.00 | steps: 421423 | loss: 0.2082
95 episode | score: 0.00 | steps: 425891 | loss: 0.8173
96 episode | score: 0.00 | steps: 430344 | loss: -0.3872
97 episode | score: 0.00 | steps: 434806 | loss: 1.1104
98 episode | score: 0.00 | steps: 439262 | loss: 0.2944
99 episode | score: 0.00 | steps: 443731 | loss: -1.2548
100 episode | score: 0.00 | steps: 448164 | loss: 0.5789
101 episode | score: 0.00 | steps: 452627 | loss: 0.5854
102 episode | score: 0.00 | steps: 457065 | loss: 1.5850
103 episode | score: 0.00 | steps: 461489 | loss: -0.7094
104 episode | score: 0.00 | steps: 465908 | loss: 2.1743
105 episode | score: 0.00 | steps: 470357 | loss: 1.2786
106 episode | score: 0.00 | steps: 474806 | loss: 1.4051
107 episode | score: 0.00 | steps: 479225 | loss: 0.7419
108 episode | score: 0.00 | steps: 483652 | loss: -1.2412
109 episode | score: 0.00 | steps: 488071 | loss: -0.5215
110 episode | score: 0.00 | steps: 492520 | loss: 1.5575
111 episode | score: 0.00 | steps: 496972 | loss: -3.5368
112 episode | score: 0.00 | steps: 501423 | loss: -2.6789
113 episode | score: 0.00 | steps: 505864 | loss: -3.9262
114 episode | score: 0.00 | steps: 510318 | loss: -7.3130
115 episode | score: 0.00 | steps: 514715 | loss: -4.2191
116 episode | score: 0.00 | steps: 519128 | loss: -18.5811
117 episode | score: 0.00 | steps: 523536 | loss: -4.3170
118 episode | score: 0.00 | steps: 527956 | loss: -1.1114
119 episode | score: 0.00 | steps: 532370 | loss: -1.1868
120 episode | score: 0.00 | steps: 536784 | loss: -3.3614
121 episode | score: 0.00 | steps: 541195 | loss: -7.0918
122 episode | score: 0.00 | steps: 545639 | loss: -3.4645
123 episode | score: 0.00 | steps: 550121 | loss: -3.9076
124 episode | score: 0.00 | steps: 554543 | loss: -8.5956
125 episode | score: 0.00 | steps: 559019 | loss: -5.4879
126 episode | score: 0.00 | steps: 563457 | loss: -2.1999
127 episode | score: 0.00 | steps: 567895 | loss: -11.0673
128 episode | score: 0.00 | steps: 572368 | loss: -7.7245
129 episode | score: 0.00 | steps: 576797 | loss: -11.2764
130 episode | score: 0.00 | steps: 581222 | loss: -19.7433
131 episode | score: 0.00 | steps: 585687 | loss: -11.9050
132 episode | score: 0.00 | steps: 590119 | loss: -32.5067
133 episode | score: 0.00 | steps: 594542 | loss: -44.0971
134 episode | score: 0.00 | steps: 598962 | loss: -58.9578
135 episode | score: 0.00 | steps: 603422 | loss: -6.8603
136 episode | score: 0.00 | steps: 607859 | loss: -9.9483
137 episode | score: 0.00 | steps: 612300 | loss: -7.2251
138 episode | score: 0.00 | steps: 616684 | loss: -17.8402
139 episode | score: 0.00 | steps: 621120 | loss: -14.8909
140 episode | score: 0.00 | steps: 625580 | loss: -4.2908
141 episode | score: 0.00 | steps: 630046 | loss: -21.4988
142 episode | score: 0.00 | steps: 634520 | loss: -35.1565
143 episode | score: 0.00 | steps: 638964 | loss: -42.2451
144 episode | score: 0.00 | steps: 643391 | loss: -96.0081
145 episode | score: 0.00 | steps: 647818 | loss: -72.5752
146 episode | score: 0.00 | steps: 652285 | loss: -49.5992
147 episode | score: 0.00 | steps: 656713 | loss: -67.1719
148 episode | score: 0.00 | steps: 661163 | loss: -36.2864
149 episode | score: 0.00 | steps: 665610 | loss: -28.6213
150 episode | score: 0.00 | steps: 670100 | loss: -129.5858
151 episode | score: 0.00 | steps: 674565 | loss: -203.2770
152 episode | score: 0.00 | steps: 679005 | loss: -120.3267
153 episode | score: 0.00 | steps: 683435 | loss: -149.5195
154 episode | score: 0.00 | steps: 687872 | loss: -102.4925
155 episode | score: 0.00 | steps: 692316 | loss: -154.9908
156 episode | score: 0.00 | steps: 696730 | loss: -158.9506
157 episode | score: 0.00 | steps: 701154 | loss: -149.5948
158 episode | score: 0.00 | steps: 705579 | loss: -56.9389
159 episode | score: 0.00 | steps: 710034 | loss: -112.2449
160 episode | score: 0.00 | steps: 714480 | loss: -149.6971
161 episode | score: 0.00 | steps: 718912 | loss: -79.0325
162 episode | score: 0.00 | steps: 723367 | loss: -126.9076
163 episode | score: 0.00 | steps: 727815 | loss: -141.0389
164 episode | score: 0.00 | steps: 732241 | loss: -71.0137
165 episode | score: 0.00 | steps: 736727 | loss: -65.3210
166 episode | score: 0.00 | steps: 741148 | loss: -68.2427
167 episode | score: 0.00 | steps: 745577 | loss: -75.8542
168 episode | score: 0.00 | steps: 750002 | loss: -66.6542
